CCN,NETWORK,Facility Name,Five Star Date,Five Star,Five Star Data Availability Code,Address Line 1,Address Line 2,City,State,Zip,County,dfc_closed,full_address,latitude,longitude
12603,8,FMC FAIRFIELD (STEEL CITY),01/01/2015 - 12/31/2018,3,1,6508 E. J. OLIVER BLVD,,FAIRFIELD,AL,35064,JEFFERSON,open,"6508 E. J. OLIVER BLVD, FAIRFIELD, AL 35064",33.474187,-86.919041
12604,8,RCG CLANTON,01/01/2015 - 12/31/2018,4,1,275 HEALTH CENTER DRIVE,,CLANTON,AL,35045,CHILTON,open,"275 HEALTH CENTER DRIVE, CLANTON, AL 35045",32.856167,-86.624801
12606,8,FMC CHASE,01/01/2015 - 12/31/2018,3,1,1849 KEATS DRIVE NORTHWEST,,HUNTSVILLE,AL,35810,MADISON,open,"1849 KEATS DRIVE NORTHWEST, HUNTSVILLE, AL 35810",34.75668,-86.59775
12607,8,ROANOKE DIALYSIS CLINIC,01/01/2015 - 12/31/2018,5,1,4459 US HIGHWAY 431,,ROANOKE,AL,36274,RANDOLPH,open,"4459 US HIGHWAY 431, ROANOKE, AL 36274",33.165935,-85.369783
12608,8,RCG ONEONTA,01/01/2015 - 12/31/2018,5,1,"150 GILBREATH DRIVE, SUITE 1",,ONEONTA,AL,35121,BLOUNT,open,"150 GILBREATH DRIVE, SUITE 1, ONEONTA, AL 35121",33.929923,-86.493839
12609,8,EUFAULA DIALYSIS,01/01/2015 - 12/31/2018,5,1,220 SOUTH ORANGE AVE,,EUFAULA,AL,36027,BARBOUR,open,"220 SOUTH ORANGE AVE, EUFAULA, AL 36027",31.890093,-85.142196
12610,8,FMC MAGNOLIA,01/01/2015 - 12/31/2018,4,1,7940 MOFFETT ROAD,,SEMMES,AL,36575,MOBILE,open,"7940 MOFFETT ROAD, SEMMES, AL 36575",30.76732,-88.2287
12611,8,FMC DALLAS COUNTY,01/01/2015 - 12/31/2018,5,1,200 SOUTH PARK PL,,SELMA,AL,36701,DALLAS,open,"200 SOUTH PARK PL, SELMA, AL 36701",32.42477,-87.054218
12612,8,FMC GARDENDALE,01/01/2015 - 12/31/2018,4,1,592 FIELDSTOWN ROAD,SUITE 102,GARDENDALE,AL,35071,JEFFERSON,open,"592 FIELDSTOWN ROAD, GARDENDALE, AL 35071",33.652936,-86.820747
12613,8,FMC DISCOVERY,01/01/2015 - 12/31/2018,3,1,"1131 EAGLETREE LN, STE100",,HUNTSVILLE,AL,35801,MADISON,open,"1131 EAGLETREE LN, STE100, HUNTSVILLE, AL 35801",34.697,-86.578489
12614,8,FMC VALLEY CREEK,01/01/2015 - 12/31/2018,3,1,201 LINCOLN LANE,,SELMA,AL,36701,DALLAS,open,"201 LINCOLN LANE, SELMA, AL 36701",32.433168,-87.056924
12615,8,FMC AUBURN,01/01/2015 - 12/31/2018,5,1,211 E UNIVERSITY DR,,AUBURN,AL,36832,LEE,open,"211 E UNIVERSITY DR, AUBURN, AL 36832",32.58035,-85.49006
12616,8,LANDMARK DIALYSIS,01/01/2015 - 12/31/2018,3,1,717 STONE AVE,,TALLADEGA,AL,35160,TALLADEGA,open,"717 STONE AVE, TALLADEGA, AL 35160",33.43961,-86.08842
12617,8,FMC ALEXANDER CITY,01/01/2015 - 12/31/2018,5,1,3368 HWY 280 BYPASS,SUITE G-1,ALEXANDER CITY,AL,35010,TALLAPOOSA,open,"3368 HWY 280 BYPASS, ALEXANDER CITY, AL 35010",32.930526,-85.969444
12618,8,RRC NORTHRIDGE,01/01/2015 - 12/31/2018,2,1,4400 WATERMELON ROAD,SUITE A,NORTHPORT,AL,35473,TUSCALOOSA,open,"4400 WATERMELON ROAD, NORTHPORT, AL 35473",33.247895,-87.548962
12619,8,TUSCALOOSA NEPHROLOGY ASSOC HOME DIALYSIS,01/01/2015 - 12/31/2018,4,1,1850 MCFARLAND BLVD NORTH,,TUSCALOOSA,AL,35406,TUSCALOOSA,open,"1850 MCFARLAND BLVD NORTH, TUSCALOOSA, AL 35406",33.23499,-87.5512
12620,8,HOME DIALYSIS OF NORTH ALABAMA,01/01/2015 - 12/31/2018,2,1,"1216 SOMERVILLE ROAD, SE",,DECATUR,AL,35601,MORGAN,open,"1216 SOMERVILLE ROAD, SE, DECATUR, AL 35601",34.58834,-86.97246
12621,8,RAI-SNOW ST-OXFORD,01/01/2015 - 12/31/2018,3,1,711 SNOW STREET,,OXFORD,AL,36203,CALHOUN,open,"711 SNOW STREET, OXFORD, AL 36203",33.615869,-85.823802
12622,8,DAVITA TALLADEGA,01/01/2015 - 12/31/2018,5,1,726 E BATTLE STREET,SUITE A,TALLADEGA,AL,35160,TALLADEGA,open,"726 E BATTLE STREET, TALLADEGA, AL 35160",33.438763,-86.086208
12623,8,DAVITA CENTER POINT DIALYSIS,01/01/2015 - 12/31/2018,3,1,2337 1ST ST NE,,CENTER POINT,AL,35215,JEFFERSON,open,"2337 1ST ST NE, CENTER POINT, AL 35215",33.648503,-86.68196
12624,8,FMC MIDFIELD DIALYSIS,01/01/2015 - 12/31/2018,4,1,613 BESSEMER SUPER HIGHWAY,,BIRMINGHAM,AL,35228,JEFFERSON,open,"613 BESSEMER SUPER HIGHWAY, BIRMINGHAM, AL 35228",33.453545,-86.924175
12625,8,RAI JACKSONVILLE,01/01/2015 - 12/31/2018,3,1,"331 HENRY RD, S.W.",,JACKSONVILLE,AL,36265,CALHOUN,open,"331 HENRY RD, S.W., JACKSONVILLE, AL 36265",33.786262,-85.768332
12626,8,FMC NORTHWEST ALABAMA KIDNEY CENTER,01/01/2015 - 12/31/2018,5,1,638 TAHOE ROAD,,WINFIELD,AL,35594,MARION,open,"638 TAHOE ROAD, WINFIELD, AL 35594",33.932981,-87.826229
12627,8,HOME DIALYSIS OPTIONS OF BALDWIN COUNTY,01/01/2015 - 12/31/2018,Not Available,260,"27880 N. MAIN ST, SUITE A",,DAPHNE,AL,36526,BALDWIN,closed,"27880 N. MAIN ST, SUITE A, DAPHNE, AL 36526",30.6314,-87.90873
12628,8,OPELIKA DIALYSIS CENTER,01/01/2015 - 12/31/2018,3,1,2340 PEPPERELL PKWY,,OPELIKA,AL,36801,LEE,open,"2340 PEPPERELL PKWY, OPELIKA, AL 36801",32.638106,-85.40973
12629,8,DAVITA RENAISSANCE,01/01/2015 - 12/31/2018,5,1,1840 DARBY DRIVE,,FLORENCE,AL,35630,LAUDERDALE,open,"1840 DARBY DRIVE, FLORENCE, AL 35630",34.842987,-87.646943
12630,8,DAVITA WIREGRASS KIDNEY CENTER,01/01/2015 - 12/31/2018,3,1,1450 ROSS CLARK CIRCLE,SUITE 200,DOTHAN,AL,36301,HOUSTON,open,"1450 ROSS CLARK CIRCLE, DOTHAN, AL 36301",31.200622,-85.37033
12631,8,GULF SHORES DIALYSIS CENTER,01/01/2015 - 12/31/2018,3,1,3947 GULF SHORES PARKWAY,,GULF SHORES,AL,36542,BALDWIN,open,"3947 GULF SHORES PARKWAY, GULF SHORES, AL 36542",30.309614,-87.684127
12632,8,MUSCLE SHOALS DIALYSIS,01/01/2015 - 12/31/2018,4,1,712 STATE STREET,,MUSCLE SHOALS,AL,35661,COLBERT,open,"712 STATE STREET, MUSCLE SHOALS, AL 35661",34.74357,-87.662336
12633,8,FMC PRATTVILLE,01/01/2015 - 12/31/2018,3,1,692 COVERED BRIDGE PARKWAY,,PRATTVILLE,AL,36066,AUTAUGA,open,"692 COVERED BRIDGE PARKWAY, PRATTVILLE, AL 36066",32.481,-86.41532
12634,8,FMC FOLEY,01/01/2015 - 12/31/2018,5,1,230 EAST FERN AVENUE,,FOLEY,AL,36535,BALDWIN,open,"230 EAST FERN AVENUE, FOLEY, AL 36535",30.42095,-87.68077
