CCN,Network,Facility Name,Five Star Date,Five Star,Five Star Data Availability Code,Address Line 1,Address Line 2,City,State,Zip,County/Parish,dfc_new,full_address,latitude,longitude
12520,8,FKC TROY,01Jan2020-31Dec2023,3.0,1,606 BOTTS AVE,,TROY,AL,36081,Pike,existing,"606 BOTTS AVE, TROY, AL 36081",31.785028,-85.948606
12521,8,DCI DOTHAN,01Jan2020-31Dec2023,2.0,1,1630 COLUMBIA HWY,,Dothan,AL,36303,Houston,existing,"1630 COLUMBIA HWY, Dothan, AL 36303",31.22062,-85.367447
12522,8,FMC HUNTSVILLE,01Jan2020-31Dec2023,4.0,1,2325 PANSY STREET,SUITE C,HUNTSVILLE,AL,35801,Madison,existing,"2325 PANSY STREET, HUNTSVILLE, AL 35801",34.714519,-86.577151
12523,8,DaVita Phenix City Dialysis Center,01Jan2020-31Dec2023,3.0,1,4391 RIVERCHASE DRIVE,,PHENIX CITY,AL,36867,Russell,existing,"4391 RIVERCHASE DRIVE, PHENIX CITY, AL 36867",32.508348,-85.006759
12524,8,FMC EAST MOBILE,01Jan2020-31Dec2023,3.0,1,1217 GOVERNMENT ST,,MOBILE,AL,36604,Mobile,existing,"1217 GOVERNMENT ST, MOBILE, AL 36604",30.682324,-88.064604
12525,8,FMC WEST MOBILE,01Jan2020-31Dec2023,3.0,1,6601 WALL STREET,SUITE A,MOBILE,AL,36695,Mobile,existing,"6601 WALL STREET, MOBILE, AL 36695",30.670122,-88.19511
12526,8,RCG PRINCETON,01Jan2020-31Dec2023,3.0,1,708 COTTON AVE SW,,BIRMINGHAM,AL,35211,Jefferson,existing,"708 COTTON AVE SW, BIRMINGHAM, AL 35211",33.497637,-86.843739
12527,8,DCI ENTERPRISE,01Jan2020-31Dec2023,5.0,1,3861 SALEM ROAD,,ENTERPRISE,AL,36330,Coffee,existing,"3861 SALEM ROAD, ENTERPRISE, AL 36330",31.361079,-85.870367
12528,8,FMC CAHABA VALLEY,01Jan2020-31Dec2023,3.0,1,120 CAHABA VALLEY PARKWAY,Suite 150,PELHAM,AL,35124,Shelby,existing,"120 CAHABA VALLEY PARKWAY, PELHAM, AL 35124",33.337632,-86.783975
12529,8,DaVita Florence Dialysis,01Jan2020-31Dec2023,3.0,1,422 EAST DR. HICKS BLVD,STE B,FLORENCE,AL,35630,Lauderdale,existing,"422 EAST DR. HICKS BLVD, FLORENCE, AL 35630",34.799209,-87.669196
12530,8,FKC E 11 Street - Anniston,01Jan2020-31Dec2023,3.0,1,522 EAST 11TH STREET,1ST FLOOR,ANNISTON,AL,36207,Calhoun,existing,"522 EAST 11TH STREET, ANNISTON, AL 36207",33.658145,-85.822176
12531,8,FMC JACKSON (TOMBIGBEE),01Jan2020-31Dec2023,3.0,1,215 WALKER SPRINGS RD,,JACKSON,AL,36545,Clarke,existing,"215 WALKER SPRINGS RD, JACKSON, AL 36545",31.55919,-87.87432
12532,8,DCI EUFAULA,01Jan2020-31Dec2023,3.0,1,123 A EAST BARBOUR STREET,,EUFAULA,AL,36027,Barbour,existing,"123 A EAST BARBOUR STREET, EUFAULA, AL 36027",31.891557,-85.140984
12533,8,DaVita Walker County Dialysis,01Jan2020-31Dec2023,2.0,1,260 6th Avenue Northwest,,JASPER,AL,35504,Walker,existing,"260 6th Avenue Northwest, JASPER, AL 35504",33.851179,-87.282072
12534,8,BESSEMER KIDNEY CENTER,01Jan2020-31Dec2023,2.0,1,975 9TH AVE SW,SUITE 500,BESSEMER,AL,35022,Jefferson,existing,"975 9TH AVE SW, BESSEMER, AL 35022",33.372797,-86.990364
12535,8,DaVita PDI-Prattville,01Jan2020-31Dec2023,4.0,1,600 Mcqueen Smith Road South,,PRATTVILLE,AL,36066,Autauga,existing,"600 Mcqueen Smith Road South, PRATTVILLE, AL 36066",32.459571,-86.418284
12536,8,FMC MONTCLAIR,01Jan2020-31Dec2023,3.0,1,7780 Ludington Lane,,BIRMINGHAM,AL,35210,Jefferson,existing,"7780 Ludington Lane, BIRMINGHAM, AL 35210",33.53156,-86.716095
12537,8,FMC PRICHARD,01Jan2020-31Dec2023,3.0,1,4016 St Stevens Road,,WHISTLER,AL,36612,Mobile,existing,"4016 St Stevens Road, WHISTLER, AL 36612",30.75641,-88.103004
12538,8,RCG ANDALUSIA,01Jan2020-31Dec2023,3.0,1,1208 WEST BYPASS,,ANDALUSIA,AL,36420,Covington,existing,"1208 WEST BYPASS, ANDALUSIA, AL 36420",31.291417,-86.503639
12540,8,FMC MONROEVILLE (WHETSTONE),01Jan2020-31Dec2023,2.0,1,676 S ALABAMA AVE,,MONROEVILLE,AL,36460,Monroe,existing,"676 S ALABAMA AVE, MONROEVILLE, AL 36460",31.516704,-87.322853
12541,8,FMC DADEVILLE,01Jan2020-31Dec2023,5.0,1,52 WATERWORKS RD,,DADEVILLE,AL,36853,Tallapoosa,existing,"52 WATERWORKS RD, DADEVILLE, AL 36853",32.837272,-85.767287
12542,8,DaVita Rainbow City Dialysis,01Jan2020-31Dec2023,,261,2800 RAINBOW DRIVE,,RAINBOW CITY,AL,35906,Etowah,existing,"2800 RAINBOW DRIVE, RAINBOW CITY, AL 35906",33.96487,-86.027209
12543,8,DaVita Demopolis Dialysis,01Jan2020-31Dec2023,1.0,1,305 South Cedar Avenue,,Demopolis,AL,36732,Marengo,existing,"305 South Cedar Avenue, Demopolis, AL 36732",32.513629,-87.83448
12544,8,DaVita Ozark Dialysis,01Jan2020-31Dec2023,3.0,1,195 BUNTING DRIVE,,OZARK,AL,36360,Dale,existing,"195 BUNTING DRIVE, OZARK, AL 36360",31.471945,-85.676605
12545,8,DaVita Tuscaloosa Dialysis,01Jan2020-31Dec2023,1.0,1,805 OLD MILL STREET,,TUSCALOOSA,AL,35401,Tuscaloosa,existing,"805 OLD MILL STREET, TUSCALOOSA, AL 35401",33.17874,-87.5478
12546,8,FMC TUSKEGEE,01Jan2020-31Dec2023,3.0,1,802 E. MARTIN LUTHER KING HWY,,TUSKEGEE,AL,36083,Macon,existing,"802 E. MARTIN LUTHER KING HWY, TUSKEGEE, AL 36083",32.427372,-85.683326
12547,8,FMC EASTERN SHORE,01Jan2020-31Dec2023,2.0,1,124 PROFESSIONAL PARK DR,,FAIRHOPE,AL,36532,Baldwin,existing,"124 PROFESSIONAL PARK DR, FAIRHOPE, AL 36532",30.5178,-87.88424
12548,8,DaVita Fayette Dialysis,01Jan2020-31Dec2023,2.0,1,2450 TEMPLE AVE N,,FAYETTE,AL,35555,Fayette,existing,"2450 TEMPLE AVE N, FAYETTE, AL 35555",33.72122,-87.81544
12550,8,DaVita Greene County Dialysis,01Jan2020-31Dec2023,2.0,1,544 HIGHWAY 43,,EUTAW,AL,35462,Greene,existing,"544 HIGHWAY 43, EUTAW, AL 35462",32.829352,-87.881982
12551,8,DaVita Sheffield Dialysis,01Jan2020-31Dec2023,3.0,1,1120 S JACKSON HWY STE 107,,SHEFFIELD,AL,35660,Colbert,existing,"1120 S JACKSON HWY STE 107, SHEFFIELD, AL 35660",34.745961,-87.702041
12552,8,FMC Azalea City,01Jan2020-31Dec2023,3.0,1,65 NORTH CATHERINE STREET,,MOBILE,AL,36604,Mobile,existing,"65 NORTH CATHERINE STREET, MOBILE, AL 36604",30.6893,-88.073715
12553,8,DaVita PDI-Elmore County,01Jan2020-31Dec2023,3.0,1,125 HOSPITAL DRIVE,,WETUMPKA,AL,36092,Elmore,existing,"125 HOSPITAL DRIVE, WETUMPKA, AL 36092",32.55196,-86.18829
12556,8,FMC Pell City,01Jan2020-31Dec2023,3.0,1,7067 VETERANS PKWY SUITE 120,,PELL CITY,AL,35125,Saint Clair,existing,"7067 VETERANS PKWY SUITE 120, PELL CITY, AL 35125",33.604239,-86.30205
12558,8,DCI DECATUR,01Jan2020-31Dec2023,1.0,1,1601 6TH AVENUE SOUTH EAST,,DECATUR,AL,35601,Morgan,existing,"1601 6TH AVENUE SOUTH EAST, DECATUR, AL 35601",34.606109,-86.984928
12559,8,FMC UNIVERSITY SOUTH ALABAMA,01Jan2020-31Dec2023,2.0,1,700 CLINIC DRIVE,,MOBILE,AL,36688,Mobile,existing,"700 CLINIC DRIVE, MOBILE, AL 36688",30.701438,-88.178335
12561,8,FKC Arab,01Jan2020-31Dec2023,4.0,1,310 South Brindlee Mountain Parkway,,Arab,AL,35016,Marshall,existing,"310 South Brindlee Mountain Parkway, Arab, AL 35016",34.312061,-86.503582
12562,8,DCI PELL CITY,01Jan2020-31Dec2023,3.0,1,62 COGSWELL DRIVE,,PELL CITY,AL,35125,Saint Clair,existing,"62 COGSWELL DRIVE, PELL CITY, AL 35125",33.587792,-86.316584
12563,8,DCI CULLMAN,01Jan2020-31Dec2023,3.0,1,1734 EVA ROAD NE,,CULLMAN,AL,35055,Cullman,existing,"1734 EVA ROAD NE, CULLMAN, AL 35055",34.195613,-86.831871
12566,8,FMC SYLACAUGA,01Jan2020-31Dec2023,3.0,1,314 WEST SPRING STREET,,SYLACAUGA,AL,35150,Talladega,existing,"314 WEST SPRING STREET, SYLACAUGA, AL 35150",33.16627,-86.256121
12568,8,FMC PARKWAY,01Jan2020-31Dec2023,3.0,1,1311 N MEMORIAL PKWY STE 100,,HUNTSVILLE,AL,35801,Madison,existing,"1311 N MEMORIAL PKWY STE 100, HUNTSVILLE, AL 35801",34.819308,-86.571064
12570,8,DaVita Northport Dialysis,01Jan2020-31Dec2023,2.0,1,2401 HOSPITAL DRIVE,,NORTHPORT,AL,35476,Tuscaloosa,existing,"2401 HOSPITAL DRIVE, NORTHPORT, AL 35476",33.23163,-87.56913
12572,8,FMC CAMELLIA,01Jan2020-31Dec2023,2.0,1,350 PAUL STABLER DRIVE,,GREENVILLE,AL,36037,Butler,existing,"350 PAUL STABLER DRIVE, GREENVILLE, AL 36037",31.85235,-86.645782
12573,8,DCI BIRMINGHAM,01Jan2020-31Dec2023,5.0,1,8713 PARKWAY EAST,,BIRMINGHAM,AL,35206,Jefferson,existing,"8713 PARKWAY EAST, BIRMINGHAM, AL 35206",33.57726,-86.717441
12575,8,RCG WALKER,01Jan2020-31Dec2023,2.0,1,3510 3RD STREET NE,,JASPER,AL,35504,Walker,existing,"3510 3RD STREET NE, JASPER, AL 35504",33.845058,-87.236843
12576,8,DCI MONTGOMERY,01Jan2020-31Dec2023,1.0,1,544 SOUTH MCDONOUGH STREET,,MONTGOMERY,AL,36104,Montgomery,existing,"544 SOUTH MCDONOUGH STREET, MONTGOMERY, AL 36104",32.37079,-86.30502
12579,8,FMC DAUPHIN ISLAND PKWY,01Jan2020-31Dec2023,3.0,1,2381 DAUPHIN ISLAND PARKWAY,,MOBILE,AL,36605,Mobile,existing,"2381 DAUPHIN ISLAND PARKWAY, MOBILE, AL 36605",30.62286,-88.08303
12580,8,FMC THOMASVILLE,01Jan2020-31Dec2023,3.0,1,30230 HWY 43,,THOMASVILLE,AL,36784,Clarke,existing,"30230 HWY 43, THOMASVILLE, AL 36784",31.881087,-87.744262
12582,8,FMC WILCOX,01Jan2020-31Dec2023,2.0,1,229 CAMDEN BYPASS,,CAMDEN,AL,36726,Wilcox,existing,"229 CAMDEN BYPASS, CAMDEN, AL 36726",32.006113,-87.297356
12585,8,DaVita Ensley Dialysis,01Jan2020-31Dec2023,3.0,1,2630 AVENUE E,,BIRMINGHAM,AL,35218,Jefferson,existing,"2630 AVENUE E, BIRMINGHAM, AL 35218",33.50726,-86.902605
12588,8,DaVita Sylacauga Dialysis,01Jan2020-31Dec2023,2.0,1,331 JAMES PAYTON BLVD,,SYLACAUGA,AL,35150,Talladega,existing,"331 JAMES PAYTON BLVD, SYLACAUGA, AL 35150",33.178202,-86.28482
12589,8,DaVita Birmingham North Dialysis,01Jan2020-31Dec2023,2.0,1,1917 32ND AVENUE NORTH,,BIRMINGHAM,AL,35207,Jefferson,existing,"1917 32ND AVENUE NORTH, BIRMINGHAM, AL 35207",33.550818,-86.828229
12590,8,DCI MOULTON,01Jan2020-31Dec2023,2.0,1,1962 MAIN STREET,,MOULTON,AL,35650,Lawrence,existing,"1962 MAIN STREET, MOULTON, AL 35650",34.497055,-87.282719
12591,8,FKC Shelby,01Jan2020-31Dec2023,3.0,1,1010 First Street North,Suite 100,Alabaster,AL,35007,Shelby,existing,"1010 First Street North, Alabaster, AL 35007",33.253808,-86.812841
12592,8,DaVita Birmingham Central Dialysis,01Jan2020-31Dec2023,3.0,1,728 RICHARD ARRINGTON JR BLVD S,,BIRMINGHAM,AL,35233,Jefferson,existing,"728 RICHARD ARRINGTON JR BLVD S, BIRMINGHAM, AL 35233",33.505593,-86.798158
12593,8,FMC ODYSSEY DIALYSIS,01Jan2020-31Dec2023,3.0,1,40 HUGHES ROAD,,MADISON,AL,35758,Madison,existing,"40 HUGHES ROAD, MADISON, AL 35758",34.689702,-86.736155
12594,8,DaVita Boaz Dialysis,01Jan2020-31Dec2023,3.0,1,16 CENTRAL HENDERSON ROAD,,BOAZ,AL,35957,Marshall,existing,"16 CENTRAL HENDERSON ROAD, BOAZ, AL 35957",34.22576,-86.163
12595,8,RCG FORT PAYNE,01Jan2020-31Dec2023,2.0,1,2202 JORDAN ROAD SW,SUITE 100,FORT PAYNE,AL,35968,DeKalb,existing,"2202 JORDAN ROAD SW, FORT PAYNE, AL 35968",34.427528,-85.762236
12596,8,FKC MONTGOMERY,01Jan2020-31Dec2023,2.0,1,3625 McGehee Place Drive North,,Montgomery,AL,36111,Montgomery,existing,"3625 McGehee Place Drive North, Montgomery, AL 36111",32.33415,-86.24614
12597,8,FMC BAY MINETTE,01Jan2020-31Dec2023,4.0,1,2505 HAND AVENUE,,BAY MINETTE,AL,36507,Baldwin,existing,"2505 HAND AVENUE, BAY MINETTE, AL 36507",30.911211,-87.788031
12598,8,DCI PHENIX CITY,01Jan2020-31Dec2023,2.0,1,1611 21st COURT,,PHENIX CITY,AL,36867,Russell,existing,"1611 21st COURT, PHENIX CITY, AL 36867",32.476151,-85.023529
12599,8,FMC PORT CITY,01Jan2020-31Dec2023,2.0,1,"201 ST. JOSEPH STREET, SUITE B",,MOBILE,AL,36602,Mobile,existing,"201 ST. JOSEPH STREET, SUITE B, MOBILE, AL 36602",30.695461,-88.043945
12600,8,DaVita Atmore Dialysis Center,01Jan2020-31Dec2023,2.0,1,807 EAST CRAIG STREET,,ATMORE,AL,36502,Escambia,existing,"807 EAST CRAIG STREET, ATMORE, AL 36502",31.017676,-87.481973
12602,8,DaVita Russellville Dialysis,01Jan2020-31Dec2023,3.0,1,14897 HWY 43,,RUSSELLVILLE,AL,35653,Franklin,existing,"14897 HWY 43, RUSSELLVILLE, AL 35653",34.50511,-87.717124
12603,8,FMC FAIRFIELD (STEEL CITY),01Jan2020-31Dec2023,3.0,1,6508 E. J. OLIVER BLVD,,FAIRFIELD,AL,35064,Jefferson,existing,"6508 E. J. OLIVER BLVD, FAIRFIELD, AL 35064",33.474187,-86.919041
12604,8,RCG CLANTON,01Jan2020-31Dec2023,3.0,1,275 HEALTH CENTER DRIVE,,CLANTON,AL,35045,Chilton,existing,"275 HEALTH CENTER DRIVE, CLANTON, AL 35045",32.856167,-86.624801
12606,8,FMC CHASE,01Jan2020-31Dec2023,1.0,1,1849 KEATS DRIVE NORTHWEST,,HUNTSVILLE,AL,35810,Madison,existing,"1849 KEATS DRIVE NORTHWEST, HUNTSVILLE, AL 35810",34.75668,-86.59775
12607,8,ROANOKE DIALYSIS CLINIC,01Jan2020-31Dec2023,3.0,1,4459 US HIGHWAY 431,,ROANOKE,AL,36274,Randolph,existing,"4459 US HIGHWAY 431, ROANOKE, AL 36274",33.165935,-85.369783
12608,8,RCG ONEONTA,01Jan2020-31Dec2023,4.0,1,"150 GILBREATH DRIVE, SUITE 1",,ONEONTA,AL,35121,Blount,existing,"150 GILBREATH DRIVE, SUITE 1, ONEONTA, AL 35121",33.929923,-86.493839
12609,8,DaVita Eufaula Dialysis,01Jan2020-31Dec2023,3.0,1,220 SOUTH ORANGE AVE,,EUFAULA,AL,36027,Barbour,existing,"220 SOUTH ORANGE AVE, EUFAULA, AL 36027",31.890093,-85.142196
12610,8,FMC MAGNOLIA,01Jan2020-31Dec2023,3.0,1,7940 Moffett Road,,SEMMES,AL,36575,Mobile,existing,"7940 Moffett Road, SEMMES, AL 36575",30.76732,-88.2287
12611,8,FMC DALLAS COUNTY,01Jan2020-31Dec2023,2.0,1,200 SOUTH PARK PL,,SELMA,AL,36701,Dallas,existing,"200 SOUTH PARK PL, SELMA, AL 36701",32.42477,-87.054218
12612,8,FMC GARDENDALE,01Jan2020-31Dec2023,3.0,1,592 FIELDSTOWN ROAD,SUITE 102,GARDENDALE,AL,35071,Jefferson,existing,"592 FIELDSTOWN ROAD, GARDENDALE, AL 35071",33.652936,-86.820747
12613,8,FMC DISCOVERY,01Jan2020-31Dec2023,2.0,1,"1131 EAGLETREE LN, STE100",,HUNTSVILLE,AL,35801,Madison,existing,"1131 EAGLETREE LN, STE100, HUNTSVILLE, AL 35801",34.697,-86.578489
12614,8,FMC VALLEY CREEK,01Jan2020-31Dec2023,2.0,1,201 LINCOLN LANE,,SELMA,AL,36701,Dallas,existing,"201 LINCOLN LANE, SELMA, AL 36701",32.433168,-87.056924
12615,8,FMC AUBURN,01Jan2020-31Dec2023,5.0,1,211 E UNIVERSITY DR,,AUBURN,AL,36832,Lee,existing,"211 E UNIVERSITY DR, AUBURN, AL 36832",32.58035,-85.49006
12616,8,LANDMARK DIALYSIS,01Jan2020-31Dec2023,2.0,1,717 STONE AVE,,TALLADEGA,AL,35160,Talladega,existing,"717 STONE AVE, TALLADEGA, AL 35160",33.43961,-86.08842
12617,8,FMC ALEXANDER CITY,01Jan2020-31Dec2023,3.0,1,3368 HWY 280 BYPASS,SUITE G-1,ALEXANDER CITY,AL,35010,Tallapoosa,existing,"3368 HWY 280 BYPASS, ALEXANDER CITY, AL 35010",32.930526,-85.969444
12618,8,RRC NORTHRIDGE,01Jan2020-31Dec2023,1.0,1,4400 WATERMELON ROAD,Suite A,NORTHPORT,AL,35473,Tuscaloosa,existing,"4400 WATERMELON ROAD, NORTHPORT, AL 35473",33.247895,-87.548962
12619,8,DaVita Northriver Home Dialysis (PD),01Jan2020-31Dec2023,3.0,1,1850 McFarland Blvd North STE B,,TUSCALOOSA,AL,35406,Tuscaloosa,existing,"1850 McFarland Blvd North STE B, TUSCALOOSA, AL 35406",33.23499,-87.5512
12620,8,North Alabama Home Dialysis,01Jan2020-31Dec2023,4.0,1,"1216 SOMERVILLE ROAD, SE",,DECATUR,AL,35601,Morgan,existing,"1216 SOMERVILLE ROAD, SE, DECATUR, AL 35601",34.58834,-86.97246
12621,8,RAI-SNOW ST-OXFORD,01Jan2020-31Dec2023,3.0,1,711 SNOW STREET,,OXFORD,AL,36203,Calhoun,existing,"711 SNOW STREET, OXFORD, AL 36203",33.615869,-85.823802
12622,8,DaVita Talladega Dialysis,01Jan2020-31Dec2023,4.0,1,726 BATTLE STREET E,SUITE A,TALLADEGA,AL,35160,Talladega,existing,"726 BATTLE STREET E, TALLADEGA, AL 35160",33.438763,-86.086208
12623,8,DaVita Center Point Dialysis,01Jan2020-31Dec2023,3.0,1,2337 1ST ST NE,,CENTER POINT,AL,35215,Jefferson,existing,"2337 1ST ST NE, CENTER POINT, AL 35215",33.648503,-86.68196
12624,8,FMC MIDFIELD DIALYSIS,01Jan2020-31Dec2023,2.0,1,613 BESSEMER SUPER HIGHWAY,,BIRMINGHAM,AL,35228,Jefferson,existing,"613 BESSEMER SUPER HIGHWAY, BIRMINGHAM, AL 35228",33.453545,-86.924175
12625,8,RAI JACKSONVILLE,01Jan2020-31Dec2023,3.0,1,"331 HENRY RD, S.W.",,JACKSONVILLE,AL,36265,Calhoun,existing,"331 HENRY RD, S.W., JACKSONVILLE, AL 36265",33.786262,-85.768332
12626,8,FMC NORTHWEST ALABAMA KIDNEY CENTER,01Jan2020-31Dec2023,5.0,1,638 TAHOE ROAD,,WINFIELD,AL,35594,Fayette,existing,"638 TAHOE ROAD, WINFIELD, AL 35594",33.932981,-87.826229
12628,8,DaVita Opelika Dialysis Center,01Jan2020-31Dec2023,3.0,1,2340 PEPPERELL PKWY,,OPELIKA,AL,36801,Lee,existing,"2340 PEPPERELL PKWY, OPELIKA, AL 36801",32.63812,-85.410007
12629,8,DaVita Renaissance Dialysis,01Jan2020-31Dec2023,3.0,1,1840 DARBY DRIVE,,FLORENCE,AL,35630,Lauderdale,existing,"1840 DARBY DRIVE, FLORENCE, AL 35630",34.842987,-87.646943
12630,8,DaVita Wiregrass Kidney Center,01Jan2020-31Dec2023,2.0,1,1450 ROSS CLARK CIRCLE,SUITE 200,DOTHAN,AL,36301,Houston,existing,"1450 ROSS CLARK CIRCLE, DOTHAN, AL 36301",31.200622,-85.37033
12631,8,DaVita Gulf Shores Dialysis Center,01Jan2020-31Dec2023,3.0,1,3947 GULF SHORES PARKWAY,STE 150,GULF SHORES,AL,36542,Baldwin,existing,"3947 GULF SHORES PARKWAY, GULF SHORES, AL 36542",30.309614,-87.684127
12632,8,DaVita Muscle Shoals Dialysis,01Jan2020-31Dec2023,3.0,1,712 STATE STREET,,MUSCLE SHOALS,AL,35661,Colbert,existing,"712 STATE STREET, MUSCLE SHOALS, AL 35661",34.74357,-87.662336
12633,8,FMC PRATTVILLE,01Jan2020-31Dec2023,2.0,1,692 COVERED BRIDGE PARKWAY,,PRATTVILLE,AL,36066,Autauga,existing,"692 COVERED BRIDGE PARKWAY, PRATTVILLE, AL 36066",32.481,-86.41532
12634,8,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",01Jan2020-31Dec2023,3.0,1,230 EAST FERN AVENUE,,FOLEY,AL,36535,Baldwin,existing,"230 EAST FERN AVENUE, FOLEY, AL 36535",30.42095,-87.68077
12636,8,FMC JAGUAR,01Jan2020-31Dec2023,2.0,1,575 STANTON ROAD,UNIT B,MOBILE,AL,36617,Mobile,existing,"575 STANTON ROAD, MOBILE, AL 36617",30.707289,-88.097149
12638,8,FMC HOOVER,01Jan2020-31Dec2023,3.0,1,2104 LORNA RIDGE LANE,,HOOVER,AL,35216,Jefferson,existing,"2104 LORNA RIDGE LANE, HOOVER, AL 35216",33.39193,-86.795925
12639,8,FMC MONTEVALLO,01Jan2020-31Dec2023,2.0,1,3883 HIGHWAY 25,,MONTEVALLO,AL,35115,Shelby,existing,"3883 HIGHWAY 25, MONTEVALLO, AL 35115",33.092331,-86.866959
12640,8,DaVita Pickens County Dialysis,01Jan2020-31Dec2023,1.0,1,289 WILLIAM E HILL DRIVE,SUITE A,CARROLLTON,AL,35447,Pickens,existing,"289 WILLIAM E HILL DRIVE, CARROLLTON, AL 35447",33.274396,-88.089773
12641,8,DCI EVERGREEN,01Jan2020-31Dec2023,2.0,1,822 WILD AVENUE,,EVERGREEN,AL,36401,Conecuh,existing,"822 WILD AVENUE, EVERGREEN, AL 36401",31.448344,-86.96005
12642,8,DaVita Enterprise Dialysis,01Jan2020-31Dec2023,3.0,1,6002 BOLL WEEVIL CIRCLE,,ENTERPRISE,AL,36330,Coffee,existing,"6002 BOLL WEEVIL CIRCLE, ENTERPRISE, AL 36330",31.29087,-85.8479
12643,8,ENDEAVOR DIALYSIS,01Jan2020-31Dec2023,4.0,1,1675 SPARKMAN DRIVE,,HUNTSVILLE,AL,35816,Madison,existing,"1675 SPARKMAN DRIVE, HUNTSVILLE, AL 35816",34.744162,-86.647192
12644,8,DaVita Jewel Dialysis,01Jan2020-31Dec2023,2.0,1,514 W. TOWN PLAZA,,BESSEMER,AL,35020,Jefferson,existing,"514 W. TOWN PLAZA, BESSEMER, AL 35020",33.390393,-86.976398
12645,8,DaVita Magic City Dialysis,01Jan2020-31Dec2023,2.0,1,300 22ND ST. S,,BIRMINGHAM,AL,35233,Jefferson,existing,"300 22ND ST. S, BIRMINGHAM, AL 35233",33.5109,-86.80002
12646,8,DaVita Steel City Dialysis,01Jan2020-31Dec2023,2.0,1,1809 AVENUE H,,BIRMINGHAM,AL,35218,Jefferson,existing,"1809 AVENUE H, BIRMINGHAM, AL 35218",33.511634,-86.893262
12647,8,DaVita Crown Dialysis,01Jan2020-31Dec2023,3.0,1,3007 27TH STREET NORTH,,BIRMINGHAM,AL,35207,Jefferson,existing,"3007 27TH STREET NORTH, BIRMINGHAM, AL 35207",33.552955,-86.816528
