CMS Certification Number (CCN),Network,Facility Name,Five Star Date,Five Star,Five Star Data Availability Code,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,Profit or Non-Profit,Chain Owned,Chain Organization,Late Shift,# of Dialysis Stations,Offers in-center hemodialysis,Offers peritoneal dialysis,Offers home hemodialysis training,Certification Date,Claims Date,EQRS Date,SMR Date,Patient Survival Category Text,Patient Survival data availability code,Number of Patients included in survival summary,Mortality Rate (Facility),Mortality Rate: Upper Confidence Limit (97.5%),Mortality Rate: Lower Confidence Limit (2.5%),SHR Date,Patient hospitalization category text,Patient Hospitalization data availability Code,Number of patients included in hospitalization summary,Hospitalization Rate (Facility),Hospitalization Rate: Upper Confidence Limit (97.5%),Hospitalization Rate: Lower Confidence Limit (2.5%),SRR Date,Patient Hospital Readmission Category,Patient Hospital Readmission data availability Code,Number of hospitalizations included in hospital readmission summary,Readmission Rate (Facility),Readmission Rate: Upper Confidence Limit (97.5%),Readmission Rate: Lower Confidence Limit (2.5%),STrR Date,Patient Transfusion category text,Patient Transfusion data availability Code,Number of patients included in the transfusion summary,Transfusion Rate (Facility),Transfusion Rate: Upper Confidence Limit (97.5%),Transfusion Rate: Lower Confidence Limit (2.5%),SWR Date,SWR category text,Patient transplant waitlist data availability code,Number of patients in this facility for SWR,Standardized First Kidney Transplant Waitlist Ratio,95% C.I. (upper limit) for SWR,95% C.I. (lower limit) for SWR,PPPW category text,Patient prevalent transplant waitlist data availability code,Number of patients for PPPW,Percentage of Prevalent Patients Waitlisted,95% C.I. (upper limit) for PPPW,95% C.I. (lower limit) for PPPW,SEDR Date,SEDR category text,Emergency Department Encounter data availability Code,Number of patients included in SEDR summary,Standardized ED visits ratio (Facility),SEDR: Upper Confidence Limit (97.5%),SEDR: Lower Confidence Limit (2.5%),ED30 Date,ED30 Category text,Emergency Department Encounter Ratio Occurring within 30 Days of Hospital Discharge data availability Code,Number of hospitalizations included in ED30 summary,Standardized ED visits within 30 days of hospital discharge ratio (Facility),ED30: Upper Confidence Limit (97.5%),ED30: Lower Confidence Limit (2.5%),YEARS Modality Switch BASED UPON,SMoSR: Classification Category (FACILITY),Modality Switch Data Availability Code,SMoSR: Number of Eligible patients (FACILITY),SMoSR: Standardized Modality Switch Ratio (FACILITY),SMoSR: Upper Confidence Limit (FACILITY),SMoSR: Lower Confidence Limit (FACILITY),SIR Date,Patient Infection category text,Patient Infection Data Availability Code,Standard Infection Ratio,SIR: Upper Confidence Limit (97.5%),SIR: Lower Confidence Limit (2.5%),Fistula Category Text,Fistula data availability code,Number of Patients included in fistula summary,Fistula Rate (Facility),Fistula Rate: Upper Confidence Limit (97.5%),Fistula Rate: Lower Confidence Limit (2.5%),HCP Vaccination Data Collection Dates,HCP Vaccination Data Availability Code,Healthcare worker COVID-19 vaccination adherence percentage,Adult HD Kt/V data availability code,Number of adult HD patients with KT/V data,Number of adult HD patient-months with Kt/V data,Percent of Adult HD patients with Kt/V >= 1.2,Adult PD Kt/V data availability code,Number of adult PD patients with KT/V data,Number of adult PD patient-months with Kt/V data,Percentage of Adult PD PTS with Kt/V >= 1.7,Pediatric HD Kt/V Data Availability Code,Number of pediatric HD patients with Kt/V data,Number of pediatric HD patient-months with KT/V data,Percentage of Pediatric HD patients with Kt/V >= 1.2,Pediatric PD Kt/V Data Availability Code,Number of pediatric PD patients with Kt/V data,Number of pediatric PD patient-months with KT/V data,Percentage of pediatric PD patients with Kt/V>=1.8,Percentage of Medicare patients with Hgb<10 g/dL,HGB<10 data availability code,Percentage of Medicare patients with Hgb>12 g/dL,Hgb > 12 data availability code,Number of Dialysis Patients with Hgb data,Hypercalcemia Data Availability Code,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL),Serum phosphorus Data Availability Code,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary,Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL,Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL,Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL,Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL,Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL,Long term catheter Data Availability Code,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Percentage of Adult patients with long term catheter in use,nPCR Data Availability Code,Number of patients in nPCR summary,Number of patient-months in nPCR summary,Percentage of pediatric HD patients with nPCR,dfc_new,full_address,latitude,longitude,census_tract
112824,6,Emory Dialysis at Northside,01Jan2020-31Dec2023,2,1,610 Northside Drive NW,,ATLANTA,GA,30318,Fulton,(404) 778-1050,Non-profit,Yes,Other,Yes,41,Yes,Yes,Yes,03FEB2010,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,1095,22.9,32,17,01Jan2023-31Dec2023,As Expected,1,255,172.7,225.2,137.6,01Jan2023-31Dec2023,As Expected,1,268,29.6,37.1,22.6,01Jan2023-31Dec2023,As Expected,1,110,24.3,52.9,13.4,01Jan2020-31Dec2022,As Expected,1,105,1.05,1.77,0.58,As Expected,1,273,18.2,27.6,11.4,01Jan2023-31Dec2023,As Expected,1,133,0.96,1.55,0.67,01Jan2022-31Dec2023,Better than Expected,1,235,0.55,0.99,0.25,01Jan2020-31Dec2022,As Expected,1,112,1.09,1.87,0.58,01Jan2023-31Dec2023,As Expected,1,0.6,1.06,0.3,As Expected,1,240,45.9,58.8,32,01APR2024-30JUN2024,1,36,1,204,1815,98,1,61,462,89,259,0,,,259,0,,,26,1,0,1,68,1,289,2587,8,1,289,2473,8,19,30,28,15,1,240,2175,21,259,0,,,existing,"610 Northside Drive NW, ATLANTA, GA 30318",33.771098,-84.407154,13121011802
112826,6,Emory Dialysis at Candler,01Jan2020-31Dec2023,2,1,2726 Candler Road,,DECATUR,GA,30034,DeKalb,(404) 778-1025,Non-profit,Yes,Other,Yes,38,Yes,No,No,02FEB2010,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,700,21.6,32.5,14.7,01Jan2023-31Dec2023,As Expected,1,164,138.9,205.8,99.1,01Jan2023-31Dec2023,As Expected,1,122,27.2,38.4,17.6,01Jan2023-31Dec2023,As Expected,1,81,13.4,45.8,5.2,01Jan2020-31Dec2022,As Expected,1,69,0.94,2.05,0.35,As Expected,1,140,13.8,28,6.2,01Jan2023-31Dec2023,As Expected,1,89,0.87,1.65,0.54,01Jan2022-31Dec2023,As Expected,1,130,0.56,1.16,0.21,01Jan2020-31Dec2022,As Expected,1,100,0.41,1.06,0.11,01Jan2023-31Dec2023,Better than Expected,1,0.31,0.75,0.1,As Expected,1,166,50.3,65.8,33.6,01APR2024-30JUN2024,1,36,1,153,1402,97,257,0,,,259,0,,,259,0,,,12,1,0,1,57,1,162,1524,6,1,163,1489,7,21,24,39,9,1,166,1567,21,259,0,,,existing,"2726 Candler Road, DECATUR, GA 30034",33.70943,-84.26945,13089023410
112827,6,SNELLVILLE DIALYSIS CENTER,01Jan2020-31Dec2023,1,1,2290 Oak Road,,SNELLVILLE,GA,30078,Gwinnett,(678) 879-1231,Profit,Yes,Other,No,15,Yes,Yes,Yes,23FEB2010,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,203,24.5,38.3,15.2,01Jan2023-31Dec2023,As Expected,1,48,194.4,318.1,128.7,01Jan2023-31Dec2023,As Expected,1,53,35.9,49.3,24.5,01Jan2023-31Dec2023,As Expected,1,20,40,180.5,12.6,01Jan2020-31Dec2022,Not Available,199,18,,,,As Expected,1,36,12.3,46.8,2.2,01Jan2023-31Dec2023,As Expected,1,28,0.45,1.38,0.15,01Jan2022-31Dec2023,As Expected,1,40,0.43,1.26,0.07,01Jan2020-31Dec2022,As Expected,1,41,0.26,1.43,0.01,01Jan2023-31Dec2023,Not Available,201,,,,As Expected,1,51,52.4,78,25.1,01APR2024-30JUN2024,201,,1,43,382,58,201,0,,,259,0,,,259,0,,,,201,,201,0,1,49,434,30,1,44,206,9,28,30,24,10,1,51,441,25,259,0,,,existing,"2290 Oak Road, SNELLVILLE, GA 30078",33.85867,-84.0162,13135050758
112828,6,DaVita Conyers Dialysis,01Jan2020-31Dec2023,2,1,1501 Milstead Rd NE,,CONYERS,GA,30012,Rockdale,(770) 761-8097,Profit,Yes,DaVita,No,16,Yes,Yes,Yes,16MAR2010,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,341,20.5,32,13.3,01Jan2023-31Dec2023,As Expected,1,84,146.4,225.5,100,01Jan2023-31Dec2023,As Expected,1,76,26.6,39.8,16.2,01Jan2023-31Dec2023,As Expected,1,26,13.5,113.9,2.6,01Jan2020-31Dec2022,As Expected,1,28,0.33,1.84,0.01,As Expected,1,80,4.4,17.6,1,01Jan2023-31Dec2023,As Expected,1,32,0.72,1.89,0.3,01Jan2022-31Dec2023,Better than Expected,1,52,0.15,0.83,0,01Jan2020-31Dec2022,As Expected,1,43,0.24,1.35,0.01,01Jan2023-31Dec2023,Better than Expected,1,0,0.36,,As Expected,1,88,62.8,83,41.3,01APR2024-30JUN2024,1,0,1,80,690,98,199,8,63,,259,0,,,259,0,,,12,1,0,1,17,1,86,756,1,1,95,799,7,21,26,26,21,1,88,731,18,259,0,,,existing,"1501 Milstead Rd NE, CONYERS, GA 30012",33.679939,-83.996657,13247060316
112830,6,FRESENIUS MEDICAL CARE HIRAM,01Jan2020-31Dec2023,3,1,3919 Atlanta Highway,,HIRAM,GA,30141,Paulding,(770) 443-9048,Profit,Yes,Fresenius Medical Care,No,16,Yes,No,No,28APR2010,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,373,20.1,33.7,12.2,01Jan2023-31Dec2023,As Expected,1,91,177.4,277.8,120.7,01Jan2023-31Dec2023,As Expected,1,112,28.7,40.1,19.2,01Jan2023-31Dec2023,As Expected,1,40,30.1,94.1,12.6,01Jan2020-31Dec2022,As Expected,1,27,1.9,4.42,0.62,As Expected,1,94,13.1,30,5,01Jan2023-31Dec2023,As Expected,1,46,0.9,1.92,0.5,01Jan2022-31Dec2023,As Expected,1,108,0.81,1.49,0.34,01Jan2020-31Dec2022,As Expected,1,45,0.89,2.29,0.24,01Jan2023-31Dec2023,Better than Expected,1,0,0.5,,As Expected,1,102,56.1,76.4,34.5,01APR2024-30JUN2024,1,0,1,87,698,99,1,12,126,97,259,0,,,259,0,,,29,1,0,1,34,1,103,879,0,1,111,916,9,20,33,19,19,1,102,788,11,259,0,,,existing,"3919 Atlanta Highway, HIRAM, GA 30141",33.909344,-84.776648,13223120205
112831,6,DaVita Magnolia Oaks Dialysis,01Jan2020-31Dec2023,3,1,2377 Hwy 196 West,,HINESVILLE,GA,31313,Liberty,(912) 368-2710,Profit,Yes,DaVita,No,15,Yes,Yes,Yes,09JUN2010,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,469,31,47.7,20.7,01Jan2023-31Dec2023,As Expected,1,120,130.8,203.6,89.4,01Jan2023-31Dec2023,As Expected,1,99,22.1,32.8,13.9,01Jan2023-31Dec2023,As Expected,1,52,45.5,101.7,24.5,01Jan2020-31Dec2022,As Expected,1,41,0.68,1.99,0.14,As Expected,1,109,12.8,31.7,4.4,01Jan2023-31Dec2023,As Expected,1,58,0.95,1.84,0.57,01Jan2022-31Dec2023,As Expected,1,98,0.81,1.52,0.36,01Jan2020-31Dec2022,As Expected,1,43,1.86,4.04,0.68,01Jan2023-31Dec2023,Better than Expected,1,0.13,0.66,0.01,As Expected,1,111,64.3,82.5,44.9,01APR2024-30JUN2024,1,0,1,92,793,96,1,27,210,100,259,0,,,259,0,,,31,1,0,1,36,1,128,1121,1,1,140,1176,7,19,30,27,18,1,111,935,6,259,0,,,existing,"2377 Hwy 196 West, HINESVILLE, GA 31313",31.81668,-81.65,13179010205
112833,6,US RENAL CARE MILLEDGEVILLE DIALYSIS,01Jan2020-31Dec2023,3,1,411 North Jefferson Street,,MILLEDGEVILLE,GA,31061,Baldwin,(478) 453-0964,Profit,Yes,"US Renal Care, Inc.",No,17,Yes,No,No,22JUL2010,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,Worse than Expected,1,223,34.4,51.1,22.7,01Jan2023-31Dec2023,As Expected,1,52,104.8,190.5,63.5,01Jan2023-31Dec2023,As Expected,1,40,24.4,43.9,11.4,01Jan2023-31Dec2023,As Expected,1,18,15.8,133.2,3.1,01Jan2020-31Dec2022,Not Available,199,15,,,,As Expected,1,40,8.3,48.9,0.8,01Jan2023-31Dec2023,As Expected,1,19,0.86,2.1,0.37,01Jan2022-31Dec2023,As Expected,1,21,0.35,1.91,0.01,01Jan2020-31Dec2022,As Expected,1,28,0,1.8,0,01Jan2023-31Dec2023,Better than Expected,1,0,0.87,,As Expected,1,53,60.5,88.7,30.3,01APR2024-30JUN2024,199,,1,43,381,95,257,0,,,259,0,,,259,0,,,21,1,0,1,14,1,49,447,0,1,53,460,19,35,24,17,6,1,53,447,16,259,0,,,existing,"411 North Jefferson Street, MILLEDGEVILLE, GA 31061",33.086287,-83.226239,13009970201
112835,6,FRESENIUS MEDICAL CARE HONEY CREEK,01Jan2020-31Dec2023,3,1,1901 Honey Creek Commons,,CONYERS,GA,30013,Rockdale,(678) 413-3751,Profit,Yes,Fresenius Medical Care,No,21,Yes,Yes,Yes,13OCT2010,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,323,28.5,42.3,19.6,01Jan2023-31Dec2023,As Expected,1,70,163.8,261.8,108.2,01Jan2023-31Dec2023,As Expected,1,65,15.9,29.4,7.5,01Jan2023-31Dec2023,As Expected,1,22,14.8,124.6,2.9,01Jan2020-31Dec2022,As Expected,1,26,0.42,2.34,0.01,As Expected,1,59,7.6,37.1,1.1,01Jan2023-31Dec2023,As Expected,1,26,0.55,1.66,0.21,01Jan2022-31Dec2023,As Expected,1,56,0.29,1.03,0.03,01Jan2020-31Dec2022,As Expected,1,47,1.06,2.48,0.34,01Jan2023-31Dec2023,As Expected,1,0.28,1.36,0.01,As Expected,1,82,72.9,92.3,52.2,01APR2024-30JUN2024,1,0,1,79,698,99,201,0,,,259,0,,,259,0,,,21,1,0,1,19,1,82,725,2,1,80,713,12,27,30,21,10,1,82,738,6,259,0,,,existing,"1901 Honey Creek Commons, CONYERS, GA 30013",33.592645,-84.01245,13247060406
112836,6,FMC - RAI-EAGLES LANDING-STOCKBRIDGE,01Jan2020-31Dec2023,4,1,500 Eagles Landing Pkwy,,STOCKBRIDGE,GA,30281,Henry,(770) 474-6068,Profit,Yes,Fresenius Medical Care,No,21,Yes,Yes,Yes,04NOV2010,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,349,26.9,41.3,17.9,01Jan2023-31Dec2023,As Expected,1,93,142.6,244.9,89.7,01Jan2023-31Dec2023,As Expected,1,63,31.6,46.5,19.1,01Jan2023-31Dec2023,As Expected,1,42,13.7,78.3,3.6,01Jan2020-31Dec2022,As Expected,1,46,1.5,3.26,0.55,As Expected,1,93,20,38.3,9.1,01Jan2023-31Dec2023,As Expected,1,47,0.44,1.34,0.17,01Jan2022-31Dec2023,As Expected,1,44,0.48,1.39,0.09,01Jan2020-31Dec2022,As Expected,1,46,1.54,3.18,0.62,01Jan2023-31Dec2023,Better than Expected,1,0,0.76,,As Expected,1,82,61.3,83.9,37.1,01APR2024-30JUN2024,1,0,1,69,614,99,1,31,258,93,259,0,,,259,0,,,14,1,0,1,21,1,103,927,1,1,109,976,7,17,32,23,22,1,82,696,9,259,0,,,existing,"500 Eagles Landing Pkwy, STOCKBRIDGE, GA 30281",33.514418,-84.210721,13151070114
112837,6,NEPHRON-NORCROSS DIALYSIS CENTER,01Jan2020-31Dec2023,1,1,6060 SINGLETON ROAD SUITE A,,NORCROSS,GA,30093,Gwinnett,(770) 771-0200,Profit,Yes,Other,No,14,Yes,No,No,16NOV2010,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,129,18.5,32.1,9.6,01Jan2023-31Dec2023,Worse than Expected,1,31,242,391.9,159.7,01Jan2023-31Dec2023,As Expected,1,48,34.5,46.5,22.9,01Jan2023-31Dec2023,Not Available,199,14,,,,01Jan2020-31Dec2022,Not Available,199,17,,,,As Expected,1,32,5.9,45.7,0.5,01Jan2023-31Dec2023,As Expected,1,14,1.48,3.49,0.65,01Jan2022-31Dec2023,As Expected,1,30,1.01,2.05,0.34,01Jan2020-31Dec2022,As Expected,1,24,0,1.31,0,01Jan2023-31Dec2023,Not Available,201,,,,As Expected,1,36,38.3,70.4,3.9,01APR2024-30JUN2024,201,,1,35,325,33,257,0,,,259,0,,,259,0,,,,201,,201,0,1,36,329,50,1,19,108,10,21,31,20,17,1,36,321,37,259,0,,,existing,"6060 SINGLETON ROAD SUITE A, NORCROSS, GA 30093",33.904783,-84.200155,13135050449
112838,6,FMC - RAI - HWY - FAYETTEVILLE,01Jan2020-31Dec2023,3,1,1240 Hwy 54 West Ste 408,,FAYETTEVILLE,GA,30215,Fayette,(770) 460-0136,Profit,Yes,Fresenius Medical Care,No,20,Yes,No,No,29DEC2010,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,312,18.9,30.8,11.8,01Jan2023-31Dec2023,As Expected,1,80,159.1,257.5,105.2,01Jan2023-31Dec2023,As Expected,1,75,26.7,41.1,15.9,01Jan2023-31Dec2023,As Expected,1,28,6.3,128.7,0.6,01Jan2020-31Dec2022,As Expected,1,42,0.96,2.23,0.31,As Expected,1,80,18.4,36.9,8,01Jan2023-31Dec2023,As Expected,1,31,0.85,1.79,0.44,01Jan2022-31Dec2023,As Expected,1,75,0.69,1.37,0.25,01Jan2020-31Dec2022,As Expected,1,55,0.35,1.25,0.04,01Jan2023-31Dec2023,As Expected,1,0.45,1.23,0.11,As Expected,1,90,46.7,67.6,24.3,01APR2024-30JUN2024,1,0,1,76,742,99,199,9,56,,259,0,,,259,0,,,19,1,0,1,21,1,94,900,2,1,98,925,8,24,29,18,22,1,90,860,15,259,0,,,existing,"1240 Hwy 54 West Ste 408, FAYETTEVILLE, GA 30215",33.449338,-84.505948,13113140305
112839,6,US RENAL CARE CUMMING DIALYSIS,01Jan2020-31Dec2023,3,1,1370 BUFORD HIGHWAY STE 110,,CUMMING,GA,30041,Forsyth,(678) 965-2893,Profit,Yes,"US Renal Care, Inc.",No,17,Yes,Yes,Yes,09FEB2011,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,237,21,31.9,13.6,01Jan2023-31Dec2023,As Expected,1,57,173.4,274.9,117.9,01Jan2023-31Dec2023,Better than Expected,1,53,13.2,24.3,5.4,01Jan2023-31Dec2023,As Expected,1,30,38.1,130.2,14.8,01Jan2020-31Dec2022,Not Available,199,30,,,,As Expected,1,51,23.1,51.1,8,01Jan2023-31Dec2023,As Expected,1,33,0.68,1.69,0.3,01Jan2022-31Dec2023,As Expected,1,68,1,1.88,0.43,01Jan2020-31Dec2022,As Expected,1,37,2.37,4.88,0.95,01Jan2023-31Dec2023,Better than Expected,1,0,0.78,,As Expected,1,47,51.4,81.5,19.1,01APR2024-30JUN2024,1,0,1,39,355,100,1,15,111,100,259,0,,,259,0,,,37,1,0,1,19,1,56,480,0,1,63,517,8,24,31,26,11,1,47,386,16,259,0,,,existing,"1370 BUFORD HIGHWAY STE 110, CUMMING, GA 30041",34.16828,-84.123846,13117130512
112840,6,DaVita North Carrollton Dialysis,01Jan2020-31Dec2023,2,1,195 Parkwood Cir,,CARROLLTON,GA,30117,Carroll,(770) 832-8959,Profit,Yes,DaVita,No,12,Yes,No,No,23MAR2011,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,156,21.8,38.7,11.5,01Jan2023-31Dec2023,As Expected,1,42,133.1,246,79.6,01Jan2023-31Dec2023,As Expected,1,33,21.4,43.1,8.2,01Jan2023-31Dec2023,Not Available,199,17,,,,01Jan2020-31Dec2022,Not Available,199,15,,,,As Expected,1,34,6.6,44,0.6,01Jan2023-31Dec2023,As Expected,1,19,1.6,3.44,0.77,01Jan2022-31Dec2023,As Expected,1,20,0.88,2.74,0.1,01Jan2020-31Dec2022,As Expected,1,25,0,1.32,0,01Jan2023-31Dec2023,As Expected,1,0.58,1.91,0.1,As Expected,1,43,47.8,75.6,18.1,01APR2024-30JUN2024,1,0,1,44,355,99,257,0,,,259,0,,,259,0,,,,199,,199,10,1,44,373,0,1,46,376,6,16,22,34,23,1,43,361,16,259,0,,,existing,"195 Parkwood Cir, CARROLLTON, GA 30117",33.61675,-85.085728,13045910600
112841,6,DaVita McAffee Dialysis,01Jan2020-31Dec2023,1,1,1987 CANDLER RD SUITE C,,DECATUR,GA,30032,DeKalb,(404) 284-8596,Profit,Yes,DaVita,No,20,Yes,No,No,20APR2011,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,317,28.8,42.7,19.9,01Jan2023-31Dec2023,Worse than Expected,1,79,246.6,349.7,181.2,01Jan2023-31Dec2023,Worse than Expected,1,105,46.9,58.5,35.8,01Jan2023-31Dec2023,As Expected,1,22,63.7,184.7,28.1,01Jan2020-31Dec2022,As Expected,1,31,0,1.11,0,As Expected,1,65,2.3,47.3,0.1,01Jan2023-31Dec2023,Worse than Expected,1,25,2.48,4.21,1.5,01Jan2022-31Dec2023,As Expected,1,47,0.96,1.92,0.35,01Jan2020-31Dec2022,As Expected,1,51,0.22,1.21,0.01,01Jan2023-31Dec2023,Better than Expected,1,0,0.39,,As Expected,1,80,53.9,77.7,28.5,01APR2024-30JUN2024,1,0,1,76,660,94,257,0,,,259,0,,,259,0,,,25,1,0,1,16,1,79,676,0,1,81,677,8,19,25,31,18,1,80,688,12,259,0,,,existing,"1987 CANDLER RD SUITE C, DECATUR, GA 30032",33.73273,-84.28471,13089023601
112843,6,LAKE HARTWELL KIDNEY CENTER,01Jan2020-31Dec2023,,260,98 ARTHUR STREET,,HARTWELL,GA,30643,Hart,(706) 376-9600,Profit,No,Independent,No,13,Yes,No,No,29SEP2011,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,34,30.4,68.1,10.6,01Jan2023-31Dec2023,Not Available,199,6,,,,01Jan2023-31Dec2023,Not Available,199,7,,,,01Jan2023-31Dec2023,Not Available,199,4,,,,01Jan2020-31Dec2022,Not Available,201,0,,,,Not Available,199,4,,,,01Jan2023-31Dec2023,Not Available,199,4,,,,01Jan2022-31Dec2023,Not Available,199,10,,,,01Jan2020-31Dec2022,Not Available,199,3,,,,01Jan2023-31Dec2023,Not Available,201,,,,Not Available,199,5,,,,01APR2024-30JUN2024,199,,199,5,48,,257,0,,,259,0,,,259,0,,,,199,,199,1,199,5,48,,199,5,50,,,,,,199,5,51,,259,0,,,existing,"98 ARTHUR STREET, HARTWELL, GA 30643",34.347805,-82.937716,13147960402
112844,6,DUBLIN DIALYSIS CENTER,01Jan2020-31Dec2023,3,1,"2400 BELLEVUE RD, STE 29 A",,DUBLIN,GA,31021,Laurens,(478) 304-1501,Profit,Yes,American Renal Associates,No,24,Yes,Yes,Yes,09NOV2011,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,343,30,43.4,21.2,01Jan2023-31Dec2023,As Expected,1,75,131,220.9,82.6,01Jan2023-31Dec2023,As Expected,1,67,29.6,44.4,17.7,01Jan2023-31Dec2023,As Expected,1,19,8,162.1,0.8,01Jan2020-31Dec2022,As Expected,1,44,0.72,2.59,0.09,As Expected,1,63,9.2,32.5,2.1,01Jan2023-31Dec2023,As Expected,1,23,0.71,2.09,0.26,01Jan2022-31Dec2023,As Expected,1,32,1.38,3.25,0.34,01Jan2020-31Dec2022,As Expected,1,48,1.75,3.61,0.7,01Jan2023-31Dec2023,As Expected,1,0.53,1.44,0.13,As Expected,1,72,52.5,76.2,27.1,01APR2024-30JUN2024,1,95,1,64,560,100,1,17,136,90,259,0,,,259,0,,,42,1,0,1,12,1,79,707,0,1,86,762,18,33,30,15,4,1,72,612,18,259,0,,,existing,"2400 BELLEVUE RD, STE 29 A, DUBLIN, GA 31021",32.527828,-82.942103,13175950500
112845,6,US RENAL CARE PARTNERS OF ROSWELL,01Jan2020-31Dec2023,3,1,"11660 ALPHARETTA HWY, SUITE 650",,ROSWELL,GA,30076,Fulton,(678) 710-0970,Profit,Yes,"US Renal Care, Inc.",No,17,Yes,Yes,Yes,21DEC2011,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,240,20.3,32.2,12.4,01Jan2023-31Dec2023,As Expected,1,73,203.3,312.2,139.1,01Jan2023-31Dec2023,As Expected,1,86,31.6,43.7,20.9,01Jan2023-31Dec2023,As Expected,1,37,12.5,105.1,2.4,01Jan2020-31Dec2022,As Expected,1,35,1.48,3.46,0.48,As Expected,1,61,16.8,37.4,6.4,01Jan2023-31Dec2023,Worse than Expected,1,44,2.02,3.37,1.28,01Jan2022-31Dec2023,Worse than Expected,1,78,1.84,2.92,1,01Jan2020-31Dec2022,As Expected,1,44,2.18,4.29,0.94,01Jan2023-31Dec2023,As Expected,1,1.3,2.71,0.53,As Expected,1,63,49.5,72.9,24.5,01APR2024-30JUN2024,1,0,1,58,468,97,1,25,202,97,201,0,,,201,0,,,22,1,0,1,27,1,82,708,1,1,87,752,8,24,28,25,13,1,63,515,13,201,0,,,existing,"11660 ALPHARETTA HWY, SUITE 650, ROSWELL, GA 30076",34.063378,-84.324731,13121011647
112847,6,ELLENWOOD DIALYSIS CENTER,01Jan2020-31Dec2023,3,1,209 BENNETTE BLVD,,ELLENWOOD,GA,30294,Clayton,(678) 289-0963,Profit,No,Independent,No,16,Yes,No,No,02FEB2012,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,144,25.1,43.6,13,01Jan2023-31Dec2023,As Expected,1,35,114.1,225.5,63.3,01Jan2023-31Dec2023,As Expected,1,22,32.2,59.4,12,01Jan2023-31Dec2023,Not Available,199,8,,,,01Jan2020-31Dec2022,Not Available,199,15,,,,As Expected,1,34,8.4,45.6,1,01Jan2023-31Dec2023,As Expected,1,9,2.15,6.17,0.79,01Jan2022-31Dec2023,As Expected,1,13,0.67,3.06,0.02,01Jan2020-31Dec2022,As Expected,1,22,1.19,3.48,0.25,01Jan2023-31Dec2023,As Expected,1,0,1.47,,As Expected,1,42,58.4,89.9,24.7,01APR2024-30JUN2024,201,,1,41,306,98,257,0,,,259,0,,,259,0,,,,199,,199,4,1,41,306,2,1,43,332,9,19,24,22,26,1,42,332,9,259,0,,,existing,"209 BENNETTE BLVD, ELLENWOOD, GA 30294",33.617542,-84.24183,13151070128
